Origin_Country,2015_TB,2016_TB,2017_TB,2018_TB,2019_TB,2020_TB,2021_TB,2022_TB,2015_Pop,2016_Pop,2017_Pop,2018_Pop,2019_Pop,2020_Pop,2021_Pop,2022_Pop
Syria,12.42807249,37.44107159,13.5176043,12.19323854,9.931490192,7.12218939,5.59211495,6.534206244,10135,35250,12370,12390,10485,5155,5875,8930
Brazil,14.36821456,16.20979252,20.59145424,22.88643686,24.2977856,23.53803846,25.57166959,18.7706849,10830,13495,18045,22570,25690,17745,29875,25635
Australia,13.22781669,13.38117927,12.54041889,10.86445697,9.792085987,5.251642791,4.064574178,5.111516182,11465,12670,12175,11725,11275,4120,4865,7830
Nigeria,24.51691209,25.54768036,26.84904282,30.9759893,33.33313968,31.06256077,36.13154344,40.43205947,11980,13290,13995,20150,23000,15105,28680,42775
Japan,16.50340429,16.40049576,16.19631521,14.25067732,13.71165619,8.353833513,9.455571699,11.32386109,13885,15105,15350,15025,15515,6525,11690,17665
Pakistan,30.33354883,30.50950845,26.87528117,27.31500143,29.11706407,26.37554875,27.99960545,27.69119217,14865,15530,11190,13000,14460,9095,13525,17450
Iran,17.83367336,12.42328704,12.21179302,14.63477533,17.774751,18.73897092,24.10075937,21.09966013,15110,11290,11415,15455,20415,15420,31245,33650
United Kingdom and Overseas Territories,19.03078101,19.2264201,18.6905802,17.77331305,17.48053483,12.82829495,13.25671927,11.45498913,16440,18175,18210,19360,20445,10620,17060,18090
Korea,55.82660713,57.39066826,61.2340949,57.36537992,60.59242653,54.96062326,53.85839691,48.78789718,26640,28745,31120,30190,32785,20135,25895,24335
France,41.06696402,38.99745732,45.10464389,41.43973773,42.09421119,39.28823295,43.04518578,35.76274166,36060,37460,44675,45795,50050,33215,57055,58290
United States of America,46.28320659,44.47752472,43.97750971,39.61033965,37.10082308,27.90476637,27.40372793,21.77687425,40925,43090,43905,44145,44515,23780,36525,35690
Philippines,100.1415586,87.11175282,85.2704113,73.98415468,70.5510767,59.13793607,73.56094931,81.17254908,64310,55485,52795,46075,41575,22085,44825,64125
India,116.6186908,141.6852054,185.2897752,222.2123936,274.2248411,264.2929006,331.9696358,308.6975535,92900,125915,172930,234970,314845,216025,427240,488140
China,117.1015239,133.3433807,138.9969789,126.8341245,118.8081997,114.6343889,85.30098527,66.2916037,101005,126350,135670,137945,138725,95140,109455,103810
